t,x
0,1
0.01,0.998026728
0.02,0.992114701
0.03,0.982287251
0.04,0.968583161
0.05,0.951056516
0.06,0.929776486
0.07,0.904827052
0.08,0.87630668
0.09,0.844327926
0.1,0.809016994
0.11,0.770513243
0.12,0.728968627
0.13,0.684547106
0.14,0.63742399
0.15,0.587785252
0.16,0.535826795
0.17,0.481753674
0.18,0.425779292
0.19,0.368124553
0.2,0.309016994
0.21,0.248689887
0.22,0.187381315
0.23,0.125333234
0.24,0.06279052
0.25,6.12574E-17
0.26,-0.06279052
0.27,-0.125333234
0.28,-0.187381315
0.29,-0.248689887
0.3,-0.309016994
0.31,-0.368124553
0.32,-0.425779292
0.33,-0.481753674
0.34,-0.535826795
0.35,-0.587785252
0.36,-0.63742399
0.37,-0.684547106
0.38,-0.728968627
0.39,-0.770513243
0.4,-0.809016994
0.41,-0.844327926
0.42,-0.87630668
0.43,-0.904827052
0.44,-0.929776486
0.45,-0.951056516
0.46,-0.968583161
0.47,-0.982287251
0.48,-0.992114701
0.49,-0.998026728
0.5,-1
0.51,-0.998026728
0.52,-0.992114701
0.53,-0.982287251
0.54,-0.968583161
0.55,-0.951056516
0.56,-0.929776486
0.57,-0.904827052
0.58,-0.87630668
0.59,-0.844327926
0.6,-0.809016994
0.61,-0.770513243
0.62,-0.728968627
0.63,-0.684547106
0.64,-0.63742399
0.65,-0.587785252
0.66,-0.535826795
0.67,-0.481753674
0.68,-0.425779292
0.69,-0.368124553
0.7,-0.309016994
0.71,-0.248689887
0.72,-0.187381315
0.73,-0.125333234
0.74,-0.06279052
0.75,-1.83772E-16
0.76,0.06279052
0.77,0.125333234
0.78,0.187381315
0.79,0.248689887
0.8,0.309016994
0.81,0.368124553
0.82,0.425779292
0.83,0.481753674
0.84,0.535826795
0.85,0.587785252
0.86,0.63742399
0.87,0.684547106
0.88,0.728968627
0.89,0.770513243
0.9,0.809016994
0.91,0.844327926
0.92,0.87630668
0.93,0.904827052
0.94,0.929776486
0.95,0.951056516
0.96,0.968583161
0.97,0.982287251
0.98,0.992114701
0.99,0.998026728
1,1
1.01,0.998026728
1.02,0.992114701
1.03,0.982287251
1.04,0.968583161
1.05,0.951056516
1.06,0.929776486
1.07,0.904827052
1.08,0.87630668
1.09,0.844327926
1.1,0.809016994
1.11,0.770513243
1.12,0.728968627
1.13,0.684547106
1.14,0.63742399
1.15,0.587785252
1.16,0.535826795
1.17,0.481753674
1.18,0.425779292
1.19,0.368124553
1.2,0.309016994
1.21,0.248689887
1.22,0.187381315
1.23,0.125333234
1.24,0.06279052
1.25,3.06287E-16
1.26,-0.06279052
1.27,-0.125333234
1.28,-0.187381315
1.29,-0.248689887
1.3,-0.309016994
1.31,-0.368124553
1.32,-0.425779292
1.33,-0.481753674
1.34,-0.535826795
1.35,-0.587785252
1.36,-0.63742399
1.37,-0.684547106
1.38,-0.728968627
1.39,-0.770513243
1.4,-0.809016994
1.41,-0.844327926
1.42,-0.87630668
1.43,-0.904827052
1.44,-0.929776486
1.45,-0.951056516
1.46,-0.968583161
1.47,-0.982287251
1.48,-0.992114701
1.49,-0.998026728
1.5,-1
1.51,-0.998026728
1.52,-0.992114701
1.53,-0.982287251
1.54,-0.968583161
1.55,-0.951056516
1.56,-0.929776486
1.57,-0.904827052
1.58,-0.87630668
1.59,-0.844327926
1.6,-0.809016994
1.61,-0.770513243
1.62,-0.728968627
1.63,-0.684547106
1.64,-0.63742399
1.65,-0.587785252
1.66,-0.535826795
1.67,-0.481753674
1.68,-0.425779292
1.69,-0.368124553
1.7,-0.309016994
1.71,-0.248689887
1.72,-0.187381315
1.73,-0.125333234
1.74,-0.06279052
1.75,-4.28802E-16
1.76,0.06279052
1.77,0.125333234
1.78,0.187381315
1.79,0.248689887
1.8,0.309016994
1.81,0.368124553
1.82,0.425779292
1.83,0.481753674
1.84,0.535826795
1.85,0.587785252
1.86,0.63742399
1.87,0.684547106
1.88,0.728968627
1.89,0.770513243
1.9,0.809016994
1.91,0.844327926
1.92,0.87630668
1.93,0.904827052
1.94,0.929776486
1.95,0.951056516
1.96,0.968583161
1.97,0.982287251
1.98,0.992114701
1.99,0.998026728
2,1
2.01,0.998026728
2.02,0.992114701
2.03,0.982287251
2.04,0.968583161
2.05,0.951056516
2.06,0.929776486
2.07,0.904827052
2.08,0.87630668
2.09,0.844327926
2.1,0.809016994
2.11,0.770513243
2.12,0.728968627
2.13,0.684547106
2.14,0.63742399
2.15,0.587785252
2.16,0.535826795
2.17,0.481753674
2.18,0.425779292
2.19,0.368124553
2.2,0.309016994
2.21,0.248689887
2.22,0.187381315
2.23,0.125333234
2.24,0.06279052
2.25,5.51317E-16
2.26,-0.06279052
2.27,-0.125333234
2.28,-0.187381315
2.29,-0.248689887
2.3,-0.309016994
2.31,-0.368124553
2.32,-0.425779292
2.33,-0.481753674
2.34,-0.535826795
2.35,-0.587785252
2.36,-0.63742399
2.37,-0.684547106
2.38,-0.728968627
2.39,-0.770513243
2.4,-0.809016994
2.41,-0.844327926
2.42,-0.87630668
2.43,-0.904827052
2.44,-0.929776486
2.45,-0.951056516
2.46,-0.968583161
2.47,-0.982287251
2.48,-0.992114701
2.49,-0.998026728
2.5,-1
2.51,-0.998026728
2.52,-0.992114701
2.53,-0.982287251
2.54,-0.968583161
2.55,-0.951056516
2.56,-0.929776486
2.57,-0.904827052
2.58,-0.87630668
2.59,-0.844327926
2.6,-0.809016994
2.61,-0.770513243
2.62,-0.728968627
2.63,-0.684547106
2.64,-0.63742399
2.65,-0.587785252
2.66,-0.535826795
2.67,-0.481753674
2.68,-0.425779292
2.69,-0.368124553
2.7,-0.309016994
2.71,-0.248689887
2.72,-0.187381315
2.73,-0.125333234
2.74,-0.06279052
2.75,-2.45019E-15
2.76,0.06279052
2.77,0.125333234
2.78,0.187381315
2.79,0.248689887
2.8,0.309016994
2.81,0.368124553
2.82,0.425779292
2.83,0.481753674
2.84,0.535826795
2.85,0.587785252
2.86,0.63742399
2.87,0.684547106
2.88,0.728968627
2.89,0.770513243
2.9,0.809016994
2.91,0.844327926
2.92,0.87630668
2.93,0.904827052
2.94,0.929776486
2.95,0.951056516
2.96,0.968583161
2.97,0.982287251
2.98,0.992114701
2.99,0.998026728
3,1
3.01,0.998026728
3.02,0.992114701
3.03,0.982287251
3.04,0.968583161
3.05,0.951056516
3.06,0.929776486
3.07,0.904827052
3.08,0.87630668
3.09,0.844327926
3.1,0.809016994
3.11,0.770513243
3.12,0.728968627
3.13,0.684547106
3.14,0.63742399
3.15,0.587785252
3.16,0.535826795
3.17,0.481753674
3.18,0.425779292
3.19,0.368124553
3.2,0.309016994
3.21,0.248689887
3.22,0.187381315
3.23,0.125333234
3.24,0.06279052
3.25,-9.8001E-16
3.26,-0.06279052
3.27,-0.125333234
3.28,-0.187381315
3.29,-0.248689887
3.3,-0.309016994
3.31,-0.368124553
3.32,-0.425779292
3.33,-0.481753674
3.34,-0.535826795
3.35,-0.587785252
3.36,-0.63742399
3.37,-0.684547106
3.38,-0.728968627
3.39,-0.770513243
3.4,-0.809016994
3.41,-0.844327926
3.42,-0.87630668
3.43,-0.904827052
3.44,-0.929776486
3.45,-0.951056516
3.46,-0.968583161
3.47,-0.982287251
3.48,-0.992114701
3.49,-0.998026728
3.5,-1
3.51,-0.998026728
3.52,-0.992114701
3.53,-0.982287251
3.54,-0.968583161
3.55,-0.951056516
3.56,-0.929776486
3.57,-0.904827052
3.58,-0.87630668
3.59,-0.844327926
3.6,-0.809016994
3.61,-0.770513243
3.62,-0.728968627
3.63,-0.684547106
3.64,-0.63742399
3.65,-0.587785252
3.66,-0.535826795
3.67,-0.481753674
3.68,-0.425779292
3.69,-0.368124553
3.7,-0.309016994
3.71,-0.248689887
3.72,-0.187381315
3.73,-0.125333234
3.74,-0.06279052
3.75,-2.69522E-15
3.76,0.06279052
3.77,0.125333234
3.78,0.187381315
3.79,0.248689887
3.8,0.309016994
3.81,0.368124553
3.82,0.425779292
3.83,0.481753674
3.84,0.535826795
3.85,0.587785252
3.86,0.63742399
3.87,0.684547106
3.88,0.728968627
3.89,0.770513243
3.9,0.809016994
3.91,0.844327926
3.92,0.87630668
3.93,0.904827052
3.94,0.929776486
3.95,0.951056516
3.96,0.968583161
3.97,0.982287251
3.98,0.992114701
3.99,0.998026728
4,1
4.01,0.998026728
4.02,0.992114701
4.03,0.982287251
4.04,0.968583161
4.05,0.951056516
4.06,0.929776486
4.07,0.904827052
4.08,0.87630668
4.09,0.844327926
4.1,0.809016994
4.11,0.770513243
4.12,0.728968627
4.13,0.684547106
4.14,0.63742399
4.15,0.587785252
4.16,0.535826795
4.17,0.481753674
4.18,0.425779292
4.19,0.368124553
4.2,0.309016994
4.21,0.248689887
4.22,0.187381315
4.23,0.125333234
4.24,0.06279052
4.25,-7.34981E-16
4.26,-0.06279052
4.27,-0.125333234
4.28,-0.187381315
4.29,-0.248689887
4.3,-0.309016994
4.31,-0.368124553
4.32,-0.425779292
4.33,-0.481753674
4.34,-0.535826795
4.35,-0.587785252
4.36,-0.63742399
4.37,-0.684547106
4.38,-0.728968627
4.39,-0.770513243
4.4,-0.809016994
4.41,-0.844327926
4.42,-0.87630668
4.43,-0.904827052
4.44,-0.929776486
4.45,-0.951056516
4.46,-0.968583161
4.47,-0.982287251
4.48,-0.992114701
4.49,-0.998026728
4.5,-1
4.51,-0.998026728
4.52,-0.992114701
4.53,-0.982287251
4.54,-0.968583161
4.55,-0.951056516
4.56,-0.929776486
4.57,-0.904827052
4.58,-0.87630668
4.59,-0.844327926
4.6,-0.809016994
4.61,-0.770513243
4.62,-0.728968627
4.63,-0.684547106
4.64,-0.63742399
4.65,-0.587785252
4.66,-0.535826795
4.67,-0.481753674
4.68,-0.425779292
4.69,-0.368124553
4.7,-0.309016994
4.71,-0.248689887
4.72,-0.187381315
4.73,-0.125333234
4.74,-0.06279052
4.75,-2.94025E-15
4.76,0.06279052
4.77,0.125333234
4.78,0.187381315
4.79,0.248689887
4.8,0.309016994
4.81,0.368124553
4.82,0.425779292
4.83,0.481753674
4.84,0.535826795
4.85,0.587785252
4.86,0.63742399
4.87,0.684547106
4.88,0.728968627
4.89,0.770513243
4.9,0.809016994
4.91,0.844327926
4.92,0.87630668
4.93,0.904827052
4.94,0.929776486
4.95,0.951056516
4.96,0.968583161
4.97,0.982287251
4.98,0.992114701
4.99,0.998026728
5,1
5.01,0.998026728
5.02,0.992114701
5.03,0.982287251
5.04,0.968583161
5.05,0.951056516
5.06,0.929776486
5.07,0.904827052
5.08,0.87630668
5.09,0.844327926
5.1,0.809016994
5.11,0.770513243
5.12,0.728968627
5.13,0.684547106
5.14,0.63742399
5.15,0.587785252
5.16,0.535826795
5.17,0.481753674
5.18,0.425779292
5.19,0.368124553
5.2,0.309016994
5.21,0.248689887
5.22,0.187381315
5.23,0.125333234
5.24,0.06279052
5.25,-4.89951E-16
5.26,-0.06279052
5.27,-0.125333234
5.28,-0.187381315
5.29,-0.248689887
5.3,-0.309016994
5.31,-0.368124553
5.32,-0.425779292
5.33,-0.481753674
5.34,-0.535826795
5.35,-0.587785252
5.36,-0.63742399
5.37,-0.684547106
5.38,-0.728968627
5.39,-0.770513243
5.4,-0.809016994
5.41,-0.844327926
5.42,-0.87630668
5.43,-0.904827052
5.44,-0.929776486
5.45,-0.951056516
5.46,-0.968583161
5.47,-0.982287251
5.48,-0.992114701
5.49,-0.998026728
5.5,-1
5.51,-0.998026728
5.52,-0.992114701
5.53,-0.982287251
5.54,-0.968583161
5.55,-0.951056516
5.56,-0.929776486
5.57,-0.904827052
5.58,-0.87630668
5.59,-0.844327926
5.6,-0.809016994
5.61,-0.770513243
5.62,-0.728968627
5.63,-0.684547106
5.64,-0.63742399
5.65,-0.587785252
5.66,-0.535826795
5.67,-0.481753674
5.68,-0.425779292
5.69,-0.368124553
5.7,-0.309016994
5.71,-0.248689887
5.72,-0.187381315
5.73,-0.125333234
5.74,-0.06279052
5.75,-3.18528E-15
5.76,0.06279052
5.77,0.125333234
5.78,0.187381315
5.79,0.248689887
5.8,0.309016994
5.81,0.368124553
5.82,0.425779292
5.83,0.481753674
5.84,0.535826795
5.85,0.587785252
5.86,0.63742399
5.87,0.684547106
5.88,0.728968627
5.89,0.770513243
5.9,0.809016994
5.91,0.844327926
5.92,0.87630668
5.93,0.904827052
5.94,0.929776486
5.95,0.951056516
5.96,0.968583161
5.97,0.982287251
5.98,0.992114701
5.99,0.998026728
6,1
